id,name,first_name,last_name,birth_year,birth_location,death_year,death_location,nationality,gender,sector,media,profile_link,ranking
1002094,Jafar Vahedi,Jafar,Vahedi,,,,,,m,,,https://artfacts.net/artist/jafar-vahedi/1002094,"Top 100,000"
1002058,María Aranís Valdivia,María Aranís,Valdivia,,,,,,,,,https://artfacts.net/artist/maria-aranis-valdivia/1002058,"Top 100,000"
49903,Rubem Valentim,Rubem,Valentim,1922.0,"Salvador, BA (BR)",1991.0,"São Paulo, SP (BR)",Brazil,m,Post-War,"Painting, Sculpture",https://artfacts.net/artist/rubem-valentim/49903,"Top 10,000"
572291,Anton Varga,Anton,Varga,1989.0,Uzhorod,,,Ukraine,m,Ultra-Contemporary,,https://artfacts.net/artist/anton-varga/572291,"Top 10,000"
47940,Humberto Velez,Humberto,Velez,1965.0,City of Panamá (PA),,,Panama,m,Contemporary,,https://artfacts.net/artist/humberto-velez/47940,"Top 10,000"
1002063,Celia Leyton Vidal,Celia Leyton,Vidal,,,,,,f,,,https://artfacts.net/artist/celia-leyton-vidal/1002063,"Top 100,000"
1002073,Edoardo Daniele Villa,Edoardo Daniele,Villa,,,,,,m,,,https://artfacts.net/artist/edoardo-daniele-villa/1002073,"Top 100,000"
52667,Eliseu Visconti,Eliseu,Visconti,1866.0,"Giffoni Valle Piana, SA (IT)",1944.0,"Rio de Janeiro, RJ (BR)",Brazil,m,Impressionists and Post-Impressionistis,Painting,https://artfacts.net/artist/eliseu-visconti/52667,"Top 10,000"
1002100,Rex and Edna Volcan,Rex and Edna,Volcan,,,,,[],m,,,https://artfacts.net/artist/rex-and-edna-volcan/1002100,"Top 100,000"
33158,Alfredo Volpi,Alfredo,Volpi,1896.0,Lucca (IT),1988.0,São Paulo (BR),Brazil,m,Modern,Painting,https://artfacts.net/artist/alfredo-volpi/33158,"Top 10,000"
19465,Kay WalkingStick,Kay,WalkingStick,1935.0,"Syracuse, NY (US)",,,United States,f,Post-War,Painting,https://artfacts.net/artist/kay-walkingstick/19465,"Top 10,000"
811127,Jenni-Juulia Wallinheimo-Heimonen,Jenni-Juulia,Wallinheimo-Heimonen,1974.0,,,,Finland,f,Contemporary,,https://artfacts.net/artist/jenni-juulia-wallinheimo-heimonen/811127,"Top 10,000"
456893,Eimear Walshe,Eimear,Walshe,,Longford,,,Ireland (Republic),n,,,https://artfacts.net/artist/eimear-walshe/456893,"Top 10,000"
712746,Wang Shaoqiang,,Wang Shaoqiang,1969.0,"Shantou, Guangdong",,,China,,Contemporary,,https://artfacts.net/artist/wang-shaoqiang/712746,"Top 10,000"
263023,Wang Zhenghong,,Wang Zhenghong,,,,,,,,,https://artfacts.net/artist/wang-zhenghong/263023,"Top 10,000"
730996,WangShui,,WangShui,1986.0,,,,United States,n,Ultra-Contemporary,"Painting, Time-Based Media, Installation Art, Architecture",https://artfacts.net/artist/wangshui/730996,"Top 10,000"
938142,Gustavo Caboco Wapichana,Gustavo Caboco,Wapichana,,,,,,m,,,https://artfacts.net/artist/gustavo-caboco-wapichana/938142,"Top 10,000"
677184,Agnes Waruguru Njoroge,Agnes,Waruguru Njoroge,1994.0,,,,Kenya,f,Ultra-Contemporary,,https://artfacts.net/artist/agnes-waruguru-njoroge/677184,"Top 10,000"
73530,Osmond Watson,Osmond,Watson,,,,,,,,,https://artfacts.net/artist/osmond-watson/73530,"Top 100,000"
112039,Barrington Watson,Barrington,Watson,1931.0,,,,Jamaica,m,Post-War,Painting,https://artfacts.net/artist/barrington-watson/112039,"Top 10,000"
10662,Susanne Wenger,Susanne,Wenger,1915.0,Graz (AT),2009.0,"Oshogbo, Osun (NG)","['Austria', 'Nigeria']",f,Post-War,"Painting, Sculpture",https://artfacts.net/artist/susanne-wenger/10662,"Top 10,000"
