year,artist_id,exhibition_id
2022,880736,934016
2022,669104,934016
2022,445173,934016
2022,423160,934016
2022,420425,934016
2022,24103,934016
2022,19965,934016
2022,724,934016
2022,145488,934016
2022,903459,934016
2022,229628,934016
2022,16021,934016
2022,210745,934016
2022,426965,934016
2022,29184,934016
2022,64212,934016
2022,66294,934016
2022,671566,934016
2022,367086,934016
2022,820635,934016
2022,253412,934016
2022,248303,934016
2022,13949,934016
2022,13309,934016
2022,3010,934016
2022,316392,934016
2022,810927,934016
2022,122786,934016
2022,6450,934016
2022,180240,934016
2022,111434,934016
2022,29191,934016
2022,488223,934016
2022,5503,934016
2022,576593,934016
2022,1120,934016
2022,167055,934016
2022,395019,934016
2022,424681,934016
2022,810926,934016
2022,140372,934016
2022,40520,934016
2022,174911,934016
2022,40170,934016
2022,421333,934016
2022,2714,934016
2022,90106,934016
2022,229684,934016
2022,96603,934016
2022,472641,934016
2022,424664,934016
2022,354560,934016
2022,827541,934016
2022,235038,934016
2022,94641,934016
2022,827542,934016
2022,330643,934016
2022,202735,934016
2022,111483,934016
2022,10838,934016
2022,21503,934016
2022,6683,934016
2022,22440,934016
2022,851285,934016
2022,89983,934016
2022,810932,934016
2022,3842,934016
2022,433108,934016
2022,805,934016
2022,81443,934016
2022,412735,934016
2022,601364,934016
2022,710935,934016
2022,27340,934016
2022,185632,934016
2022,96646,934016
2022,395546,934016
2022,224341,934016
2022,112882,934016
2022,810928,934016
2022,116913,934016
2022,630021,934016
2022,495671,934016
2022,495669,934016
2022,40102,934016
2022,4737,934016
2022,629028,934016
2022,422537,934016
2022,239284,934016
2022,268893,934016
2022,29420,934016
2022,196142,934016
2022,382309,934016
2022,93008,934016
2022,176937,934016
2022,116152,934016
2022,147665,934016
2022,54119,934016
2022,339373,934016
2022,529335,934016
2022,95669,934016
2022,607955,934016
2022,802234,934016
2022,616524,934016
2022,908,934016
2022,47758,934016
2022,76429,934016
2022,29316,934016
2022,412942,934016
2022,425664,934016
2022,39889,934016
2022,649765,934016
