source,target,weight
1018748,714941,17
1018748,950166,11
1018854,134486,11
1018854,440969,11
1018854,458253,20
1018854,805811,19
1018854,873546,14
1019532,735404,11
1019907,113704,11
1019907,169005,12
1019907,19812,11
1019907,567020,13
1019912,1037888,12
1019912,721297,11
1020129,1035937,11
1020129,1084238,11
1020129,1093659,12
1020129,148078,14
1020129,162745,13
1020129,169536,14
1020129,169537,14
1020129,169538,14
1020129,173162,13
1020129,204096,13
1020129,20566,12
1020129,209345,11
1020129,209364,14
1020129,209371,11
1020129,209401,13
1020129,210410,12
1020129,210482,11
1020129,281455,16
1020129,285803,11
1020129,288175,17
1020129,288263,11
1020129,288753,15
1020129,29291,11
1020129,30706,12
1020129,317467,12
1020129,328853,14
1020129,330537,11
1020129,333934,14
1020129,374962,12
1020129,401603,15
1020129,437070,13
1020129,440969,14
1020129,481969,14
1020129,481975,14
1020129,518942,12
1020129,54406,13
1020129,573654,11
1020129,57611,11
1020129,657348,12
1020129,6614,14
1020129,677808,13
1020129,716150,11
1020129,762932,11
1020129,773887,14
1020129,795418,14
1020129,797640,13
1020129,805252,14
1020129,805727,13
1020129,805732,11
1020129,839748,13
1020129,857542,11
1020129,863591,13
1020129,883319,12
1020129,946734,11
1020270,26217,11
1020270,316678,11
1020270,784204,11
1020543,137947,11
1020543,137948,11
1020543,138018,11
1020594,265716,11
1021331,984752,13
1021331,988444,13
1021617,230679,11
1021617,303196,11
1021617,734419,12
1021617,85027,11
1021617,881732,11
1021627,134486,14
1021645,1093878,17
1021894,1044527,13
1021894,654165,11
1021894,805259,12
1021894,805563,13
1023081,1030069,29
1023081,1061104,14
1023081,1063510,11
1023081,1081363,29
1023081,1105036,11
1023081,119441,13
1023081,134486,12
1023081,137997,12
1023081,140117,12
1023081,140140,16
1023081,140168,13
1023081,154540,12
1023081,169337,11
1023081,19859,12
1023081,216540,12
1023081,22945,13
1023081,253706,17
1023081,277285,14
1023081,289501,14
1023081,289505,14
1023081,289506,14
1023081,289514,14
1023081,303196,13
1023081,325602,11
1023081,344678,11
1023081,364162,11
1023081,398166,13
1023081,399353,12
1023081,402901,11
1023081,402904,11
1023081,448351,15
1023081,527833,11
1023081,535481,11
1023081,540678,11
1023081,565434,11
1023081,59595,13
1023081,607099,11
1023081,611293,11
1023081,617641,13
1023081,642194,11
1023081,665000,11
1023081,665006,12
1023081,670770,11
1023081,691658,13
1023081,693112,11
1023081,729335,11
1023081,744753,14
1023081,744770,13
1023081,76377,12
1023081,784204,12
1023081,797055,11
1023081,801145,12
1023081,801308,11
1023081,801374,11
1023081,803629,11
1023081,804166,11
1023081,804496,11
1023081,805096,12
1023081,805107,15
1023081,805234,12
1023081,805237,15
1023081,805238,13
1023081,805578,14
1023081,805583,15
1023081,805740,12
1023081,806509,11
1023081,806518,14
1023081,806592,15
1023081,806628,13
1023081,806632,14
1023081,806898,11
1023081,807322,12
1023081,807492,11
1023081,811072,11
1023081,811717,12
1023081,812393,11
1023081,838897,11
1023081,860705,11
1023081,86554,12
1023081,886654,12
1023081,889311,11
1023081,895319,12
1023081,901523,11
1023081,934488,11
1023081,992643,11
102314,140043,12
102314,140168,11
102314,140172,13
102314,141947,11
102314,150622,12
102314,18260,11
102314,18550,11
102314,230178,11
102314,253705,11
102314,277066,11
102314,288231,11
102314,303196,18
102314,401627,11
102314,402904,13
102314,41281,11
102314,59655,11
102314,671587,11
102314,673653,13
102314,673656,11
102314,744753,11
102314,753164,11
102314,753174,11
102314,753415,12
102314,774833,12
102314,797055,11
102314,805578,12
102314,806502,11
102314,806537,12
102314,806598,12
102314,807518,11
102314,811077,12
102314,940188,11
1023156,1032361,16
1023156,1033336,16
1023156,1034485,16
1023156,1039765,16
1023156,1069552,16
1023156,1093243,16
1023156,1100955,16
1023156,984543,16
1023156,986862,16
1023156,997094,16
1023411,895259,11
1023706,1096567,13
1023706,663733,12
1023706,788450,12
1023706,813942,12
1023706,868201,13
1023706,970598,16
1024173,1028116,11
1024173,1042295,11
1024173,1043101,12
1024173,1043485,11
1024173,1046200,12
1024173,324332,11
102421,13540,15
102428,258134,11
102428,50059,11
1024730,770685,12
1024730,984101,16
1026501,1077250,15
1026501,877569,13
1026554,303196,15
1026726,60268,12
1026726,75233,12
1027001,789275,18
1027225,1078658,12
1027225,1103574,20
1027225,762125,11
1027225,841109,17
1027225,910801,13
1027225,978281,12
1027807,238295,14
1027807,305096,13
1027807,562224,13
1027807,583989,11
1027807,97472,11
1028116,1042295,14
1028116,1043101,14
1028116,1043120,13
1028116,1043485,12
1028116,1046200,13
1028207,134486,12
1028303,121082,11
1028303,224004,13
1028439,216869,12
1028439,216874,12
1028439,253637,11
1028439,747716,14
1028439,842433,12
1028458,973661,11
1028833,1069347,11
1028833,391522,11
1029318,288231,11
1029318,784217,11
1029537,1054195,17
1029925,156427,11
1029925,636861,11
1030069,1061104,14
1030069,1063510,11
1030069,1081363,29
1030069,1105036,11
1030069,119441,13
1030069,134486,12
1030069,137997,12
1030069,140117,12
1030069,140140,16
1030069,140168,13
1030069,154540,12
1030069,169337,11
1030069,19859,12
1030069,216540,12
1030069,22945,13
1030069,253706,17
