person_id,person_name,role,event_year,event_title,event_id,event_type,tipo
368337,Mario Penelope,Consiglio Direttivo,1984,"41. Esposizione Internazionale d'Arte: Arte e Arti, Attualità e Storia",241,manifestazione,annali_arti_visive
368337,Mario Penelope,Consiglio Direttivo,1985,Terza Mostra Internazionale di Architettura : Progetto Venezia,91,manifestazione,annali_architettura
368337,Mario Penelope,Consiglio Direttivo,1986,4. Mostra Internazionale di Architettura: Hendrik Petrus Berlage. Disegni,93,manifestazione,annali_architettura
368337,Mario Penelope,Consiglio Direttivo,1986,42. Esposizione Internazionale d'Arte : arte e scienza,242,manifestazione,annali_arti_visive
368337,Mario Penelope,Consiglio Direttivo,1987,44. Mostra Internazionale del Cinema,60,manifestazione,annali_cinema
380878,Pedro Cabrita Reis,Partecipante,2010,La sostenibile leggerezza dell’essere. La metafora dello spazio 2 (Evento Collaterale),550,event,annali_architettura
380878,Pedro Cabrita Reis,Artista,2013,A Remote Whisper (Evento Collaterale),748,event,annali_arti_visive
380878,Pedro Cabrita Reis,Artista,2013,"Glasstress, White Light / White Heat (Evento Collaterale)",759,event,annali_arti_visive
391788,Lawrence Carroll,Artista,2009,Glass Stress (Evento Collaterale),454,event,annali_arti_visive
372600,Rainer Ganahl,Artista,2009,The Fear Society. Pabellón de la Urgencia. Un progetto della regione di Murcia (Evento Collaterale),475,event,annali_arti_visive
372783,Željko Kipke,Commissario,2007,Partecipazioni nazionali: Croazia - Latency,897,section,annali_arti_visive
382021,Isidore Opsomer,Commissario,1928,Partecipazioni nazionali: Belgio,4153,section,annali_arti_visive
382021,Isidore Opsomer,Commissario,1928,Partecipazioni nazionali: Belgio - Mostra individuale di Marcel Jefferys,7360,section,annali_arti_visive
382021,Isidore Opsomer,Commissario,1928,Partecipazioni nazionali: Belgio - Mostra individuale di Henri Evenepoel,7359,section,annali_arti_visive
376679,John Everett Millais,Comitato di Patrocinio,1895,Prima Esposizione Internazionale d'Arte della Città di Venezia,212,manifestazione,annali_arti_visive
376679,John Everett Millais,Comitato di Patrocinio,1897,2. Esposizione Internazionale d'Arte della Città di Venezia,213,manifestazione,annali_arti_visive
372554,Paolo Canevari,Artista,2013,Nell'acqua capisco (Evento Collaterale),768,event,annali_arti_visive
372554,Paolo Canevari,Artista,2019,Artists Need to Create on the Same Scale that Society Has the Capacity to Destroy: Mare Nostrum (Evento collaterale),1545,event,annali_arti_visive
464598,Lourival Gomes Machado,Commissario,1958,Partecipazioni nazionali: Brasile,5118,section,annali_arti_visive
464598,Lourival Gomes Machado,Giuria Internazionale di Premiazione,1958,29. Esposizione Biennale Internazionale d'Arte,231,manifestazione,annali_arti_visive
464598,Lourival Gomes Machado,Comitato Internazionale di esperti,1960,30. Biennale Internazionale d'Arte,232,manifestazione,annali_arti_visive
399505,Gerald Leslie Brockhurst,Commissario,1928,Partecipazioni nazionali: Gran Bretagna,4173,section,annali_arti_visive
419850, Studio Azzurro,Artista,2011,Pino Pascali. Ritorno a Venezia / Puglia Arte Contemporanea (Evento Collaterale),590,event,annali_arti_visive
382325,Bortolo Sacchi,[Commissione] Giuria per i Concorsi,1938,21. Esposizione Biennale Internazionale d'Arte,11,manifestazione,annali_arti_visive
366270,Mario Rigo,Consiglio Direttivo,1976,"La Biennale di Venezia 1976 : Ambiente, partecipazione, strutture culturali",238,manifestazione,annali_arti_visive
366270,Mario Rigo,Consiglio Direttivo,1978,38. Esposizione Internazionale d'Arte: dalla natura all'arte dall'arte alla natura,239,manifestazione,annali_arti_visive
366270,Mario Rigo,Vicepresidente della Biennale,1979,Mostra Internazionale del Cinema,51,manifestazione,annali_cinema
366270,Mario Rigo,Consiglio Direttivo,1979,Venezia e lo spazio scenico,442,manifestazione,annali_teatro
366270,Mario Rigo,Vicepresidente della Biennale,1980,Mostra Internazionale del Cinema,53,manifestazione,annali_cinema
366270,Mario Rigo,Consiglio Direttivo,1980,39. Biennale arti visive 1980,52,manifestazione,annali_arti_visive
366270,Mario Rigo,Consiglio Direttivo,1980,Prima Mostra Internazionale di Architettura: La Presenza del Passato,87,manifestazione,annali_architettura
366270,Mario Rigo,Vicepresidente della Biennale,1983,40. Mostra Internazionale del Cinema,56,manifestazione,annali_cinema
366270,Mario Rigo,Consiglio Direttivo,1984,"41. Esposizione Internazionale d'Arte: Arte e Arti, Attualità e Storia",241,manifestazione,annali_arti_visive
