Artist_URI,Wikidata_ID,Artist_Name,Gender,Birthplace,Deathplace,Birthdate,Deathdate,Nationality,Work_Location_English,Start_Date,End_Date,VB_name
https://data.rkd.nl/artists/433529,,"Dimitriadis, Kostas",Male,Asenovgrad,Athene,1881,1943,Bulgarian,Greece,1930,1943,Kostas Dimitriadis
https://data.rkd.nl/artists/433581,,"Ganesco, Constantin",Male,Boekarest,,1864,1951,Romanian,Paris,1902,1913,Constantin Ganesco
https://data.rkd.nl/artists/433581,,"Ganesco, Constantin",Male,Boekarest,,1864,1951,Romanian,Paris,1928,1939,Constantin Ganesco
https://data.rkd.nl/artists/433581,,"Ganesco, Constantin",Male,Boekarest,,1864,1951,Romanian,Paris,1946,1946,Constantin Ganesco
https://data.rkd.nl/artists/433581,,"Ganesco, Constantin",Male,Boekarest,,1864,1951,Romanian,Paris,1947,1947,Constantin Ganesco
https://data.rkd.nl/artists/433704,Q597553,"Kenar, Antoni",Male,Iwonicz,Zakopane,1906,1959,Polish,Zakopane,1938,1959,Antoni Kenar
https://data.rkd.nl/artists/433709,Q6430240,"Laszczka, Konstanty",Male,Makówiec Duży,Kraków,1865,1956,Polish,Warsaw,1897,1899,Konstanty Laszczka
https://data.rkd.nl/artists/433709,Q6430240,"Laszczka, Konstanty",Male,Makówiec Duży,Kraków,1865,1956,Polish,Kraków,1899,1935,Konstanty Laszczka
https://data.rkd.nl/artists/433711,Q4247071,"Kuna, Henryk",Male,Warsaw,Toruń,1879,1945,Polish,Paris,1911,1911,Henryk Kuna
https://data.rkd.nl/artists/433763,,"Pallavicini, Petar",Male,Korčula,Dubrovnik,1886,1958,Yugoslav,Prague,1912,1921,Petar Pallavicini
https://data.rkd.nl/artists/433763,,"Pallavicini, Petar",Male,Korčula,Dubrovnik,1886,1958,Yugoslav,Zagreb,1920,1921,Petar Pallavicini
https://data.rkd.nl/artists/433763,,"Pallavicini, Petar",Male,Korčula,Dubrovnik,1886,1958,Yugoslav,Belgrado,1921,1921,Petar Pallavicini
https://data.rkd.nl/artists/433763,,"Pallavicini, Petar",Male,Korčula,Dubrovnik,1886,1958,Yugoslav,London,1930,1930,Petar Pallavicini
https://data.rkd.nl/artists/433763,,"Pallavicini, Petar",Male,Korčula,Dubrovnik,1886,1958,Yugoslav,Dubrovnik,1947,1958,Petar Pallavicini
https://data.rkd.nl/artists/433776,Q1421326,"Canciani, Alfonso",Male,Brazzano (Gorizia),Trieste,1863,1955,Italian,Cividale del Friuli,1883,1883,Alfonso Canciani
https://data.rkd.nl/artists/433776,Q1421326,"Canciani, Alfonso",Male,Brazzano (Gorizia),Trieste,1863,1955,Italian,Vienna,1883,1883,Alfonso Canciani
https://data.rkd.nl/artists/433776,Q1421326,"Canciani, Alfonso",Male,Brazzano (Gorizia),Trieste,1863,1955,Italian,Rome,1896,1896,Alfonso Canciani
